glyph name;code points
.notdef;
.null;
A;U+0041
AE;U+00C6
Aacute;U+00C1
Acircumflex;U+00C2
Adieresis;U+00C4
Agrave;U+00C0
Aring;U+00C5
Atilde;U+00C3
B;U+0042
C;U+0043
Ccedilla;U+00C7
D;U+0044
E;U+0045
Eacute;U+00C9
Ecircumflex;U+00CA
Edieresis;U+00CB
Egrave;U+00C8
Euro;U+20AC
F;U+0046
G;U+0047
H;U+0048
I;U+0049
Iacute;U+00CD
Icircumflex;U+00CE
Idieresis;U+00CF
Igrave;U+00CC
J;U+004A
K;U+004B
L;U+004C
M;U+004D
N;U+004E
O;U+004F
Oacute;U+00D3
Ocircumflex;U+00D4
Odieresis;U+00D6
Ograve;U+00D2
Otilde;U+00D5
P;U+0050
Q;U+0051
R;U+0052
S;U+0053
T;U+0054
Thorn;U+00DE
U;U+0055
Uacute;U+00DA
Ucircumflex;U+00DB
Udieresis;U+00DC
Ugrave;U+00D9
V;U+0056
W;U+0057
X;U+0058
Y;U+0059
Yacute;U+00DD
Z;U+005A
a;U+0061
aacute;U+00E1
acircumflex;U+00E2
acutecomb;U+0301
adieresis;U+00E4
ae;U+00E6
agrave;U+00E0
ampersand;U+0026
aring;U+00E5
asciicircum;U+005E
asciitilde;U+007E
asterisk;U+002A
at;U+0040
atilde;U+00E3
b;U+0062
backslash;U+005C
bar;U+007C
braceleft;U+007B
braceright;U+007D
bracketleft;U+005B
bracketright;U+005D
c;U+0063
ccedilla;U+00E7
cent;U+00A2
colon;U+003A
comma;U+002C
currency;U+00A4
d;U+0064
dollar;U+0024
dotlessi;U+0131
e;U+0065
eacute;U+00E9
ecircumflex;U+00EA
edieresis;U+00EB
egrave;U+00E8
eight;U+0038
equal;U+003D
eth;U+00F0
exclam;U+0021
exclamdown;U+00A1
f;U+0066
five;U+0035
four;U+0034
g;U+0067
grave;U+0060
gravecomb;U+0300
greater;U+003E
h;U+0068
hyphen;U+002D
i;U+0069
iacute;U+00ED
icircumflex;U+00EE
idieresis;U+00EF
igrave;U+00EC
j;U+006A
k;U+006B
l;U+006C
less;U+003C
m;U+006D
mu;U+00B5
n;U+006E
nine;U+0039
nonmarkingreturn;
ntilde;U+00F1
numbersign;U+0023
o;U+006F
oacute;U+00F3
ocircumflex;U+00F4
odieresis;U+00F6
ograve;U+00F2
one;U+0031
onehalf;U+00BD
onequarter;U+00BC
oslash;U+00F8
otilde;U+00F5
p;U+0070
paragraph;U+00B6
parenleft;U+0028
parenright;U+0029
percent;U+0025
period;U+002E
plus;U+002B
q;U+0071
question;U+003F
questiondown;U+00BF
quotedbl;U+0022
quotesingle;U+0027
r;U+0072
s;U+0073
section;U+00A7
semicolon;U+003B
seven;U+0037
six;U+0036
slash;U+002F
space;U+0020
sterling;U+00A3
t;U+0074
thorn;U+00FE
three;U+0033
threequarters;U+00BE
tildecomb;U+0303
two;U+0032
u;U+0075
uacute;U+00FA
ucircumflex;U+00FB
udieresis;U+00FC
ugrave;U+00F9
underscore;U+005F
uni00A0;U+00A0
uni0302;U+0302
uni0304;U+0304
uni0308;U+0308
uni030A;U+030A
uni0327;U+0327
v;U+0076
w;U+0077
x;U+0078
y;U+0079
yacute;U+00FD
ydieresis;U+00FF
yen;U+00A5
z;U+007A
zero;U+0030
